ID,ADDITIONAL_DESCRIPTION
2488417,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488385,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488436,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488393,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488444,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488395,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488414,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488459,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488508,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Satisfies many requirements</li>  <li> 110 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 10 Joules (15 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 10. 6 inch (270 mm) h x 8. 4 inch (214 mm) w x </li> 6. 1 inch (156 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488419,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488440,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488516,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Satisfies many requirements</li>  <li> 110 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 10 Joules (15 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 10. 6 inch (270 mm) h x 8. 4 inch (214 mm) w x </li> 6. 1 inch (156 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488382,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488448,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488407,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488442,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488450,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 105 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 5 Joules (10 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 8. 5 inch (215 mm) h x 6. 4 inch (163 mm) w x </li> 5. 2 inch (132 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488529,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Satisfies many requirements</li>  <li> 110 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, </li> 10 Joules (15 Joules optional) <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 10. 6 inch (270 mm) h x 8. 4 inch (214 mm) w x </li> 6. 1 inch (156 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
2488050,"<ul><li>Visible field of 180° x 360°</li> <li> Surface or flush/panel installation</li> <li> Operates in any climate</li> <li> Impact-resistant lens</li> <li> Flame retardant, UV-resitant housing</li> <li> Easy to install</li>  <li> 8, 000, 000 flash service life</li> <li> Choice of 5 or 10 Joules flash energy</li> <li> 44 or 118 cd light output intensity</li> <li> Adjustable flash rate: 0. 1, 0. 5, 0. 75, and 1. 0 Hz</li><li>Automatic flash synchronization of multiple connected units</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 4. 9 inch (124 mm) h x 6. 5 inch (166 mm) w x 4. 5 inch (114 mm) d</li> <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Certifications: CE</li><li>Certifications pending: UL, cUL, VdS, EN 54-3</li><li> Contact factory for option part numbers not listed below</li></ul>"
2488390,"<ul><li>Electronic, solid-state design</li> <li> No moving parts</li> <li> Multiple alarms tones</li> <li> Operates in any climate</li> <li> Easy to install</li> <li> Surface or flush-panel mount</li> <li> Satisfies many requirements</li>  <li> 100 dB (A) nominal sound pressure level</li> <li> 1 Hz single flash xenon strobe light, 5 Joules</li> <li> Light operates simultaneously or independently</li> <li> 80 alarm tones with 4 stages</li> <li> Emit different tones based on alarm circumstance</li> <li> Internal volume control</li> <li> Polycarbonate/ABS blend housing</li> <li> UL Type 4/4X, IP 66 ingress protection</li> <li> 6. 8 inch (172 mm) h x 4. 3 inch (110 mm) w x </li> 3. 2 inch (81 mm) d <li> Lens colors: clear, white, yellow, amber, red, green, blue</li><li>Nominal operating voltages: 12 VDC, 24 VDC, 48 VDC, </li>24 VAC, 115 VAC, 230 VAC<li>Certifications: </li><li> Contact factory for option part numbers not listed below</li></ul>"
