ID,ADDITIONAL_DESCRIPTION
1492906,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-15/16""</td></tr><tr><th>Type</th><td>Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>9-1/8""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>4-3/4""</td></tr><tr><th>E</th><td>5-7/8""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-3/8""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-3/4""</td></tr><tr><th>M</th><td>5-15/16""</td></tr><tr><th>N</th><td>6-3/4""</td></tr><tr><th>T</th><td>3""</td></tr></table>"
1492905,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-3/4""</td></tr><tr><th>Type</th><td>Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>9-1/8""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>4-3/4""</td></tr><tr><th>E</th><td>5-7/8""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-3/8""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-3/4""</td></tr><tr><th>M</th><td>5-15/16""</td></tr><tr><th>N</th><td>6-3/4""</td></tr><tr><th>T</th><td>3""</td></tr></table>"
1492904,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-11/16""</td></tr><tr><th>Type</th><td>Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>9-1/8""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>4-3/4""</td></tr><tr><th>E</th><td>5-7/8""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-3/8""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-3/4""</td></tr><tr><th>M</th><td>5-15/16""</td></tr><tr><th>N</th><td>6-3/4""</td></tr><tr><th>T</th><td>3""</td></tr></table>"
1492903,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-1/2""</td></tr><tr><th>Type</th><td>Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>7-13/16""</td></tr><tr><th>C</th><td>1-1/32""</td></tr><tr><th>D</th><td>4-1/2""</td></tr><tr><th>E</th><td>5-1/16""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-1/16""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-1/4""</td></tr><tr><th>K</th><td>2-1/2""</td></tr><tr><th>M</th><td>5-1/8""</td></tr><tr><th>N</th><td>6""</td></tr><tr><th>T</th><td>2-3/4""</td></tr></table>"
1492902,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-7/16""</td></tr><tr><th>Type</th><td>Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>7-13/16""</td></tr><tr><th>C</th><td>1-1/32""</td></tr><tr><th>D</th><td>4-1/2""</td></tr><tr><th>E</th><td>5-1/16""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-1/16""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-1/4""</td></tr><tr><th>K</th><td>2-1/2""</td></tr><tr><th>M</th><td>5-1/8""</td></tr><tr><th>N</th><td>6""</td></tr><tr><th>T</th><td>2-3/4""</td></tr></table>"
1492901,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-3/16""</td></tr><tr><th>Type</th><td>Expansion</td></tr><tr><th>A</th><td>2-11/32""</td></tr><tr><th>B</th><td>7-1/8""</td></tr><tr><th>C</th><td>13/16""</td></tr><tr><th>D</th><td>3-3/4""</td></tr><tr><th>E</th><td>4-5/8""</td></tr><tr><th>F</th><td>1-1/8""</td></tr><tr><th>G</th><td>1""</td></tr><tr><th>H</th><td>1""</td></tr><tr><th>J</th><td>3-7/8""</td></tr><tr><th>K</th><td>2-1/4""</td></tr><tr><th>M</th><td>4-1/2""</td></tr><tr><th>N</th><td>5-1/4""</td></tr><tr><th>T</th><td>2-9/16""</td></tr></table>"
1492920,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>3-1/2""</td></tr><tr><th>Type</th><td>Non-Expansion</td></tr><tr><th>A</th><td>3-9/64""</td></tr><tr><th>B</th><td>10-1/4""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>6""</td></tr><tr><th>E</th><td>6-3/8""</td></tr><tr><th>F</th><td>1-3/4""</td></tr><tr><th>G</th><td>1-1/16""</td></tr><tr><th>H</th><td>1-5/8""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-7/8""</td></tr><tr><th>M</th><td>6-13/16""</td></tr><tr><th>N</th><td>7-13/16""</td></tr><tr><th>T</th><td>3-13/16""</td></tr></table>"
1492919,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>3-7/16""</td></tr><tr><th>Type</th><td>Non-Expansion</td></tr><tr><th>A</th><td>3-9/64""</td></tr><tr><th>B</th><td>10-1/4""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>6""</td></tr><tr><th>E</th><td>6-3/8""</td></tr><tr><th>F</th><td>1-3/4""</td></tr><tr><th>G</th><td>1-1/16""</td></tr><tr><th>H</th><td>1-5/8""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-7/8""</td></tr><tr><th>M</th><td>6-13/16""</td></tr><tr><th>N</th><td>7-13/16""</td></tr><tr><th>T</th><td>3-13/16""</td></tr></table>"
1492918,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>3""</td></tr><tr><th>Type</th><td>Non-Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>9-1/8""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>4-3/4""</td></tr><tr><th>E</th><td>5-7/8""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-3/8""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-3/4""</td></tr><tr><th>M</th><td>5-15/16""</td></tr><tr><th>N</th><td>6-3/4""</td></tr><tr><th>T</th><td>3""</td></tr></table>"
1492917,"<h5>Specifications</h5><table class=""description-table""><tr><th>Shaft Size</th><td>2-15/16""</td></tr><tr><th>Type</th><td>Non-Expansion</td></tr><tr><th>A</th><td>2-37/64""</td></tr><tr><th>B</th><td>9-1/8""</td></tr><tr><th>C</th><td>1-25/32""</td></tr><tr><th>D</th><td>4-3/4""</td></tr><tr><th>E</th><td>5-7/8""</td></tr><tr><th>F</th><td>1-1/2""</td></tr><tr><th>G</th><td>1-3/8""</td></tr><tr><th>H</th><td>1-1/4""</td></tr><tr><th>J</th><td>4-7/8""</td></tr><tr><th>K</th><td>2-3/4""</td></tr><tr><th>M</th><td>5-15/16""</td></tr><tr><th>N</th><td>6-3/4""</td></tr><tr><th>T</th><td>3""</td></tr></table>"
